Date,Region,RegionLevel,Commodity,Price
2025-01-01,Jawa Barat,1,Beras Kualitas Medium I,15000.0
2025-01-02,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-03,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-06,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-07,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-08,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-09,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-10,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-13,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-14,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-15,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-16,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-17,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-20,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-21,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-22,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-23,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-24,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-27,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-28,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-29,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-30,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-01-31,Jawa Barat,1,Beras Kualitas Medium I,15050.0
2025-02-03,Jawa Barat,1,Beras Kualitas Medium I,15000.0
2025-02-04,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-05,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-06,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-07,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-10,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-11,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-12,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-13,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-14,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-17,Jawa Barat,1,Beras Kualitas Medium I,15000.0
2025-02-18,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-19,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-20,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-21,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-24,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-25,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-26,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-27,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-02-28,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-03,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-04,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-05,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-06,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-07,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-10,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-11,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-12,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-13,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-14,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-17,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-18,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-19,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-20,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-21,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-24,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-25,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-26,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-27,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-28,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-03-31,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-01,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-02,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-03,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-04,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-07,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-08,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-09,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-10,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-11,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-14,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-15,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-16,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-17,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-18,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-21,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-22,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-23,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-24,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-25,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-28,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-29,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-04-30,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-05-01,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-05-02,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-05-05,Jawa Barat,1,Beras Kualitas Medium I,14950.0
2025-05-06,Jawa Barat,1,Beras Kualitas Medium I,14950.0
